Boat_Type,Manufacturer,Type,Year_Built,Length,Width,Material,Views_7_days,Country,Amount_US
Center console boat,Ranieri power boats,new boat from stock,2019,6.0,2.25,GRP,116,Italy,16940.0
Fishing Boat,VBoats power boats,"new boat from stock,Unleaded",2020,4.7,2.02,Aluminium,341,Switzerland,2652.6
Pilothouse,Milan  power boats,"Used boat,Diesel",1992,6.19,2.4,GRP,201,Switzerland,2625.0
Center console boat,Jeanneau power boats,new boat from stock,2020,5.48,2.36,GRP,99,Germany,17842.0
Sport Boat,AMT power boats,new boat from stock,2019,5.15,2.08,GRP,60,Germany,17809.0
Pontoon Boat,Doral power boats,"Used boat,Unleaded",1995,7.2,2.57,GRP,387,Switzerland,2625.0
Pilothouse,Smartliner power boats,new boat on order,2020,6.4,2.25,GRP,399,Switzerland,2610.0
Center console boat,Morningstar power boats,new boat from stock,2019,5.0,2.0,Aluminium,149,Switzerland,2610.0
Sport Boat,Bombardier power boats,"Used boat,Unleaded",1998,7.35,2.6,GRP,141,Croatia,17600.0
Pilothouse,Smartliner power boats,"Used boat,Unleaded",2017,6.45,2.25,PVC,53,Montenegro,18590.0
Cabin Boat,Four Winns power boats,"Used boat,Unleaded",1992,6.3,2.34,GRP,154,Germany,18590.0
Center console boat,Allegra power boats,"Used boat,Unleaded",2019,5.6,2.16,GRP,107,Italy,18590.0
"Cabin Boat,Sport Boat",Fairline power boats,"Used boat,Unleaded",1985,8.04,3.06,GRP,405,Germany,18590.0
Motor Yacht,Jeanneau power boats,Used boat,2005,7.15,2.59,PVC,62,France,18590.0
Motor Yacht,Jeanneau power boats,"Used boat,Unleaded",2005,7.15,2.59,PVC,98,France,18590.0
Sport Boat,B̩n̩teau power boats,"Used boat,Unleaded",2003,5.47,2.34,PVC,152,Spain,18590.0
Trawler,GioMare power boats,Used boat,1995,5.7,2.8,GRP,172,Rovinij,18590.0
Bowrider,Bella power boats,Display Model,2019,5.01,2.01,GRP,339,Switzerland,2739.0
Sport Boat,Yamarin power boats,new boat from stock,2020,5.53,2.24,GRP,127,Germany,18557.0
Center console boat,Saver power boats,"new boat from stock,Unleaded",2020,5.83,2.03,GRP,247,Switzerland,2731.5
Fishing Boat,Lund Boats power boats,new boat from stock,2020,4.95,2.03,Aluminium,241,Switzerland,2730.0
Motor Yacht,Mariah power boats,"Used boat,Unleaded",1997,6.5,2.5,Thermoplastic,331,Switzerland,2730.0
Deck Boat,Quicksilver power boats,"Used boat,Unleaded",2005,6.22,2.47,PVC,144,France,19250.0
Pilothouse,Ocqueteau power boats,"Used boat,Gas",2010,5.4,2.4,GRP,192,Portugal,19250.0
Trawler,Pedro power boats,Used boat,1984,8.6,2.8,Steel,149,Netherlands,19250.0
Cabin Boat,Hanto power boats,"Used boat,Diesel",1984,7.0,2.0,GRP,164,Germany,19239.0
Cabin Boat,Winga power boats,"Used boat,Diesel",1977,7.5,2.75,GRP,162,Germany,19239.0
Fishing Boat,VBoats power boats,"new boat from stock,Unleaded",2019,5.0,1.94,Aluminium,215,Switzerland,2835.0
Sport Boat,Campion power boats,"Used boat,Unleaded",2001,5.71,2.34,Plastic,335,Switzerland,2835.0
Sport Boat,Sunbird power boats,"Used boat,Unleaded",1990,6.5,2.45,Plastic,686,Switzerland,2835.0
Water ski,Correct Craft power boats,"Used boat,Unleaded",1998,5.9,2.32,GRP,1028,Switzerland,2925.0
Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1990,7.96,2.47,GRP,375,Portugal,19800.0
Pilothouse,Quicksilver (Brunswick Marine) power boats,"Used boat,Unleaded",2003,6.2,2.0,GRP,333,Italy,19800.0
Cabin Boat,Saura power boats,"Used boat,Diesel",1993,7.35,2.72,GRP,129,Spain,19800.0
Sport Boat,Yamarin power boats,"Used boat,Unleaded",2004,6.21,2.48,PVC,211,Spain,19800.0
Flybridge,Bayliner power boats,"Used boat,Unleaded",1993,8.0,2.94,GRP,334,Italy,19800.0
Bowrider,Ebbtide power boats,"Used boat,Unleaded",2009,5.59,2.29,PVC,119,Spain,19800.0
Sport Boat,Drago Boats power boats,"Used boat,Unleaded",2015,5.33,2.25,PVC,110,France,20680.0
Center console boat,Clear power boats,new boat from stock,2020,6.15,2.27,GRP,149,Germany,20625.0
Sport Boat,Nor-Dan power boats,"Used boat,Unleaded",1990,6.5,2.4,GRP,254,Germany,20570.0
Center console boat,Invictus power boats,"new boat from stock,Unleaded",2020,6.1,2.4,GRP,324,Switzerland,20559.0
Cabin Boat,Donzi power boats,"Used boat,Unleaded",1991,7.62,2.59,GRP,220,Switzerland,3000.0
Sport Boat,Sea-Doo power boats,"Used boat,Unleaded",2008,4.67,2.16,GRP,540,Switzerland,2998.5
Cabin Boat,Chris Craft power boats,"Used boat,Unleaded",1991,7.22,2.57,GRP,339,Switzerland,2998.5
Fishing Boat,Smartliner power boats,new boat from stock,2020,6.4,2.25,GRP,185,Switzerland,3015.0
