Boat_Type,Manufacturer,Type,Year_Built,Length,Width,Material,Views_7_days,Country,Amount_US
Sport Boat,Bayliner power boats,Used boat,2003,9.0,3.0,GRP,218,Netherlands,51590.00000000001
Deck Boat,Jeanneau power boats,new boat from stock,2020,6.58,2.46,PVC,42,United,55510.0
Sport Boat,Cranchi power boats,"Used boat,Diesel",2002,9.1,2.83,GRP,535,Switzerland,51480.00000000001
Motor Yacht,Nidelv power boats,Used boat,1997,9.1,3.05,GRP,261,Netherlands,51480.00000000001
Center console boat,Invictus power boats,"new boat from stock,Unleaded",2020,8.1,2.7,GRP,281,Switzerland,51480.00000000001
Bowrider,Sea Ray power boats,"new boat from stock,Unleaded",2020,5.99,2.21,GRP,215,Switzerland,7558.5
Bowrider,Sea Ray power boats,new boat from stock,2020,5.99,2.21,GRP,247,Switzerland,7558.5
Trawler,Valkkruiser power boats,Used boat,1982,12.0,3.8,Steel,92,Netherlands,51150.00000000001
Deck Boat,Sessa power boats,"Used boat,Unleaded",2010,7.8,2.64,GRP,109,France,51150.00000000001
Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,7.48,2.95,GRP,111,Italy,51150.00000000001
Bowrider,Quicksilver (Brunswick Marine) power boats,"new boat on order,Unleaded",2020,6.2,2.34,GRP,37,Germany,51150.00000000001
Pilothouse,Starfisher power boats,"Used boat,Unleaded",2013,7.9,2.86,GRP,180,Switzerland,7470.0
Launch,Antaris power boats,"new boat from stock,Diesel",2020,5.9,2.5,GRP,74,Germany,51047.700000000004
Bowrider,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,6.2,2.4,GRP,222,Switzerland,7521.0
Pilothouse,AluForce power boats,new boat from stock,2020,7.1,2.45,Aluminium,162,Germany,50886.00000000001
"Classic,Runabout",Boesch power boats,"Used boat,Unleaded",1979,5.1,2.04,Wood,149,Switzerland,7500.0
Wakeboard/Wakesurf,Malibu power boats,"Used boat,Unleaded",2005,6.85,2.46,GRP,1017,"Zürichse,",7500.0
Bowrider,Flying Shark power boats,"new boat from stock,Unleaded",2020,5.7,2.05,GRP,267,Switzerland,7499.25
Pilothouse,Selection Boats power boats,"new boat from stock,Unleaded",2019,6.48,2.5,GRP,158,Switzerland,7498.5
"Sport Boat,Wakeboard/Wakesurf",Malibu power boats,"Used boat,Unleaded",2014,6.4,2.52,Carbon Fiber,314,Poland,50600.00000000001
Sport Boat,Stingray power boats,"Used boat,Unleaded",2012,7.6,2.6,GRP,1019,Germany,50600.00000000001
Deck Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,7.23,2.55,GRP,51,Germany,50598.9
Sport Boat,Saver power boats,"new boat from stock,Unleaded",2020,6.6,2.53,GRP,223,Germany,50589.00000000001
Sport Boat,Selection Boats power boats,"new boat from stock,Unleaded",2020,5.7,2.5,PVC,62,France,50589.00000000001
Bowrider,Campion power boats,"new boat from stock,Unleaded",2020,6.1,2.34,GRP,38,Germany,50490.00000000001
Sport Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,6.0,2.34,GRP,51,Germany,50490.00000000001
Deck Boat,Jeanneau power boats,"Used boat,Unleaded",2019,6.86,2.48,PVC,95,France,50490.00000000001
Center console boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2019,6.8,2.5,PVC,91,France,50490.00000000001
Center console boat,BÃ©nÃ©teau power boats,Used boat,2019,6.8,2.5,PVC,100,France,50490.00000000001
Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2017,6.96,2.66,PVC,113,France,50490.00000000001
Trawler,Tjeukemer power boats,"Used boat,Diesel",1976,10.9,3.45,Steel,179,Switzerland,7425.0
"Classic,Sport Boat",Walser power boats,"Used boat,Unleaded",1967,5.6,2.05,GRP,174,Switzerland,7425.0
Fishing Boat,Amberg power boats,new boat from stock,2019,6.4,2.3,Aluminium,112,Switzerland,7425.0
Fishing Boat,Amberg power boats,new boat from stock,2019,6.4,2.05,Aluminium,51,Switzerland,7425.0
Fishing Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,6.55,2.54,GRP,173,Switzerland,7408.5
Bowrider,Glastron power boats,"new boat from stock,Unleaded",2019,5.95,2.3,GRP,859,Switzerland,50108.3
Motor Yacht,Smelne power boats,"Used boat,Diesel",1988,10.0,3.45,Steel,191,Germany,50050.00000000001
Bowrider,Sea Ray power boats,"new boat from stock,Unleaded",2019,5.99,2.21,GRP,79,Germany,50050.00000000001
Bowrider,Wellcraft power boats,"new boat from stock,Unleaded",2015,6.4,2.59,PVC,31,France,50050.00000000001
Sport Boat,Jeanneau power boats,new boat from stock,2020,6.38,2.44,PVC,43,United,53865.5
Pilothouse,Chaparral power boats,"Used boat,Unleaded",1993,9.73,2.97,GRP,365,Switzerland,7350.0
Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2011,7.23,2.78,GRP,419,Switzerland,7350.0
Sport Boat,Scarani power boats,"Used boat,Unleaded",2008,7.46,2.55,GRP,246,Switzerland,7350.0
Motor Yacht,Chris Craft power boats,"Used boat,Unleaded",1992,9.6,3.05,GRP,370,Switzerland,7350.0
Wakeboard/Wakesurf,MasterCraft power boats,Used boat,2009,6.6,2.54,GRP,883,Switzerland,7350.0
Center console boat,Ganz Boats power boats,"Display Model,Electric",2020,5.8,2.03,GRP,254,Switzerland,7350.0
Deck Boat,Faeton power boats,"Used boat,Unleaded",2007,7.49,2.79,GRP,55,Italy,49500.00000000001
Sport Boat,Formula power boats,"Used boat,Unleaded",1995,9.87,2.51,GRP,109,Italy,49500.00000000001
Sport Boat,Gobbi power boats,"Used boat,Diesel",1983,9.44,3.52,GRP,110,Italy,49500.00000000001
Sport Boat,Crownline power boats,"Used boat,Unleaded",2007,8.1,2.6,GRP,210,Croatia,49500.00000000001
Flybridge,Guy Couach power boats,"Used boat,Diesel",1996,10.6,3.7,PVC,80,France,49500.00000000001
Cabin Boat,Nidelv power boats,"Used boat,Diesel",2006,7.91,2.75,PVC,144,Croatia,49500.00000000001
Trawler,Nicols power boats,"Used boat,Diesel",1996,8.85,3.4,PVC,104,France,49500.00000000001
Motor Yacht,Riva power boats,"Used boat,Unleaded",1978,9.58,2.72,GRP,163,Spain,49500.00000000001
Motor Yacht,Gobbi power boats,"Used boat,Unleaded",1992,9.6,3.0,GRP,73,Italy,49500.00000000001
Motor Yacht,Symbol Yachts power boats,"Used boat,Diesel",1983,11.66,4.17,GRP,134,Croatia,49500.00000000001
Trawler,Gruno power boats,"Used boat,Diesel",1985,10.0,3.0,Steel,130,Croatia,49500.00000000001
Motor Yacht,Chris Craft power boats,"Used boat,Diesel",1991,9.3,3.3,GRP,151,Croatia,49500.00000000001
Cabin Boat,Nidelv power boats,"Used boat,Diesel",1999,8.0,2.85,GRP,124,Croatia,49500.00000000001
Motor Yacht,Sea Ray power boats,"Used boat,Unleaded",2008,8.74,2.59,GRP,169,Germany,49500.00000000001
Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Diesel",2002,9.18,3.1,PVC,91,France,49500.00000000001
Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Diesel",1999,9.15,3.11,PVC,87,France,49500.00000000001
Center console boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2019,6.1,2.5,PVC,54,France,49500.00000000001
Sport Boat,Sea Ray power boats,"Used boat,Diesel",1992,12.49,4.01,PVC,93,Spain,49500.00000000001
Flybridge,De Groot power boats,"Used boat,Unleaded",1972,13.74,3.63,Steel,91,Germany,49500.00000000001
Sport Boat,Cranchi power boats,"Used boat,Unleaded",2008,7.44,2.94,GRP,75,Italy,49500.00000000001
Sport Boat,Boston Whaler power boats,Used boat,1998,9.3,3.6,GRP,60,Italy,49500.00000000001
Motor Yacht,BÃ©nÃ©teau power boats,"Used boat,Diesel",1989,10.49,3.6,PVC,107,France,49500.00000000001
Center console boat,Capelli power boats,"Used boat,Unleaded",2008,8.1,2.6,GRP,44,Croatia,49500.00000000001
"Classic,Runabout,Sport Boat",Boesch power boats,"Used boat,Unleaded",1961,5.6,2.0,Wood,237,Germany,49500.00000000001
Sport Boat,Boesch power boats,Used boat,1980,5.9,2.6,Wood,154,Austria,49500.00000000001
"Cabin Boat,Motor Yacht,Sport Boat",Four Winns power boats,"Used boat,Unleaded",2003,8.7,2.6,Plastic,381,Netherlands,49500.00000000001
Cabin Boat,Yachtwerft Berlin power boats,"Used boat,Diesel",1912,15.0,3.5,Steel,444,Germany,49500.00000000001
Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2013,7.0,2.0,GRP,168,Croatia,49500.00000000001
"Center console boat,Fishing Boat,Sport Boat",Boston Whaler power boats,"Used boat,Unleaded",1987,7.52,2.44,GRP,208,Italy,49500.00000000001
"Fishing Boat,Flybridge,Trawler",BÃ©nÃ©teau power boats,"Used boat,Diesel",2004,9.25,3.1,GRP,389,Italy,49500.00000000001
Motor Yacht,Maxum power boats,"Used boat,Unleaded",2008,7.49,2.55,Plastic,341,Belgium,49500.00000000001
Motor Yacht,Gobbi power boats,"Used boat,Diesel",2001,9.85,3.3,GRP,294,Spain,49500.00000000001
Cabin Boat,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020,7.88,2.55,GRP,316,Germany,49498.9
Pilothouse,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,6.4,2.46,GRP,164,Germany,49498.9
Sport Boat,Sea Ray power boats,"new boat from stock,Unleaded",2019,5.99,2.21,GRP,105,Germany,49498.9
Cabin Boat,Sea Ray power boats,"Used boat,Unleaded",1988,12.8,4.25,GRP,153,Germany,49489.00000000001
Sport Boat,Rinker power boats,Unleaded,2006,7.56,2.59,GRP,105,Germany,49489.00000000001
Cabin Boat,Rodman power boats,"Used boat,Diesel",2005,8.9,3.05,GRP,239,Germany,49478.00000000001
Sport Boat,Quicksilver (Brunswick Marine) power boats,"new boat on order,Unleaded",2020,7.23,2.55,GRP,34,Germany,49445.00000000001
Sport Boat,Marinello power boats,new boat from stock,2015,6.8,2.49,GRP,130,Germany,49390.00000000001
Flybridge,Storebro power boats,"Used boat,Diesel",1980,9.0,3.0,GRP,144,Croatia,49390.00000000001
Motor Yacht,Rinker power boats,"Used boat,Unleaded",2003,8.48,2.77,GRP,187,Slovenia,49390.00000000001
Pontoon Boat,Ranieri International power boats,"new boat from stock,Unleaded",2019,7.15,2.5,GRP,76,Italy,49390.00000000001
Fishing Boat,Riva Bertram power boats,"Used boat,Unleaded",1978,7.54,2.9,GRP,178,Spain,49390.00000000001
Pilothouse,Polar Boats power boats,"Used boat,Unleaded",1994,9.05,3.0,GRP,102,Germany,49390.00000000001
Motor Yacht,Chris Craft power boats,"Used boat,Unleaded",1993,10.62,3.35,GRP,312,Switzerland,7200.0
Sport Boat,Crownline power boats,"Used boat,Unleaded",1999,8.15,2.59,GRP,486,Switzerland,7200.0
Sport Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,5.94,2.4,GRP,41,Germany,48950.00000000001
Trawler,Proficiat power boats,Used boat,1992,9.7,3.1,Steel,102,Netherlands,48950.00000000001
Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2018,7.48,2.53,PVC,68,France,48950.00000000001
Cabin Boat,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020,6.02,2.34,GRP,110,Germany,48948.9
Bowrider,Buster power boats,"new boat from stock,Unleaded",2020,6.05,2.2,Aluminium,180,Germany,48939.00000000001
Pilothouse,Finnmaster power boats,new boat from stock,2018,6.9,2.59,GRP,181,Switzerland,7209.0
"Classic,Runabout",Boesch power boats,"Used boat,Unleaded",1979,5.1,2.4,Wood,265,Switzerland,7185.0
Sport Boat,Flipper power boats,"new boat from stock,Unleaded",2020,6.74,2.46,GRP,274,Switzerland,7185.0
Bowrider,Sea Ray power boats,"new boat from stock,Unleaded",2019,5.94,2.54,GRP,43,Germany,48719.00000000001
Fishing Boat,Selva power boats,"new boat from stock,Unleaded",2020,6.5,2.38,GRP,176,Switzerland,7125.0
Sport Boat,Bayliner power boats,"new boat from stock,Unleaded",2020,6.2,2.5,GRP,117,Italy,48620.00000000001
Deck Boat,Jeanneau power boats,"Used boat,Unleaded",2018,6.94,2.48,PVC,59,France,48609.00000000001
Deck Boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2019,6.8,2.5,PVC,70,Spain,48537.50000000001
Fishing Boat,Riva power boats,"Used boat,Unleaded",1976,10.45,3.43,GRP,75,Italy,48400.00000000001
Bowrider,Quicksilver (Brunswick Marine) power boats,"new boat on order,Unleaded",2020,6.2,2.34,GRP,39,Germany,48290.00000000001
Cabin Boat,Maxum power boats,"Used boat,Unleaded",2002,7.6,2.44,GRP,206,Germany,48290.00000000001
Sport Boat,Jeanneau power boats,"Used boat,Unleaded",2016,7.5,2.5,PVC,122,France,48290.00000000001
Pilothouse,BÃ©nÃ©teau power boats,Used boat,2008,8.36,2.95,PVC,74,United,51935.0
Pontoon Boat,Sunchaser power boats,"new boat from stock,Unleaded",2019,7.0,2.0,Aluminium,152,Portugal,48229.50000000001
Sport Boat,Bayliner power boats,"Used boat,Unleaded",2008,7.32,2.59,PVC,139,United,51935.0
Pilothouse,Jeanneau power boats,"Used boat,Diesel",2008,8.25,2.94,PVC,88,France,48180.00000000001
Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,6.48,2.53,GRP,61,Austria,48059.00000000001
Sport Boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,7.36,2.55,GRP,84,Germany,48040.3
Cabin Boat,BÃ©nÃ©teau power boats,"Display Model,Diesel",2011,6.5,2.59,GRP,197,Switzerland,7020.0
Deck Boat,Moonday power boats,new boat from stock,2019,6.98,2.34,GRP,46,Netherlands,47850.00000000001
Center console boat,Jeanneau power boats,"Used boat,Unleaded",2019,6.86,2.52,PVC,54,France,47850.00000000001
Deck Boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,5.33,2.23,PVC,87,Spain,47703.700000000004
Cabin Boat,Aquastar power boats,"Used boat,Diesel",1997,8.23,2.75,PVC,120,France,51350.0
Runabout,Futuro power boats,"Display Model,Unleaded",2020,5.5,2.0,Aluminium,140,Germany,47632.200000000004
Sport Boat,Idea Marine power boats,"new boat from stock,Unleaded",2020,5.65,2.35,GRP,169,Switzerland,7011.0
Bowrider,Capelli power boats,"new boat from stock,Unleaded",2020,6.05,2.3,GRP,123,Germany,47520.00000000001
Pilothouse,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2019,5.75,2.54,GRP,150,Switzerland,7005.0
Sport Boat,Yamarin power boats,new boat from stock,2020,6.3,2.35,GRP,250,Switzerland,6995.7
Sport Boat,Alfastreet Marine power boats,"new boat from stock,Unleaded",2018,5.4,2.2,GRP,226,Switzerland,6991.65
Motor Yacht,Master power boats,new boat on order,2020,7.34,2.72,GRP,128,France,47388.00000000001
Sport Boat,Jeanneau power boats,"Used boat,Diesel",2008,8.0,2.0,GRP,166,Croatia,47300.00000000001
Deck Boat,Jeanneau power boats,new boat from stock,2020,6.58,2.46,PVC,38,United,50960.0
Bowrider,Bayliner power boats,"new boat from stock,Unleaded",2020,5.7,2.26,GRP,115,Germany,47278.00000000001
Motor Yacht,Broom power boats,"Used boat,Diesel",1976,11.8,3.6,GRP,247,Germany,47245.00000000001
Sport Boat,Campion power boats,"new boat from stock,Unleaded",2020,6.1,2.34,GRP,85,Germany,47245.00000000001
Launch,Primeur power boats,Used boat,2019,6.95,2.55,GRP,81,Netherlands,47245.00000000001
Bowrider,Bayliner power boats,"new boat on order,Unleaded",2020,5.65,2.26,GRP,50,Germany,47190.00000000001
Cabin Boat,Bayliner power boats,"Used boat,Unleaded",1997,9.58,2.92,GRP,267,Germany,47190.00000000001
Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Diesel",2007,9.18,3.13,PVC,150,France,47190.00000000001
Bowrider,Bayliner power boats,"new boat on order,Unleaded",2020,5.65,2.3,GRP,127,Germany,47190.00000000001
Bowrider,Quicksilver (Brunswick Marine) power boats,"new boat on order,Unleaded",2020,6.48,2.46,GRP,54,Germany,47080.00000000001
Sport Boat,VBoats power boats,"new boat from stock,Unleaded",2020,7.13,2.46,Aluminium,222,Switzerland,6913.2
Motor Yacht,Master power boats,new boat on order,2020,6.9,2.72,GRP,56,France,46860.00000000001
Motor Yacht,Crownline power boats,"Used boat,Unleaded",2002,8.55,2.59,GRP,363,Switzerland,6900.0
Cabin Boat,Marco Yachts power boats,Used boat,2000,9.0,3.05,GRP,108,Netherlands,46750.00000000001
Flybridge,Riva power boats,Used boat,1976,7.52,3.03,GRP,101,France,46750.00000000001
Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2015,7.23,2.78,PVC,60,France,46750.00000000001
Pilothouse,Quicksilver power boats,"Used boat,Diesel",2015,7.3,2.78,GRP,82,Germany,46750.00000000001
Sport Boat,IRON power boats,new boat on order,2020,7.67,2.44,GRP,49,Germany,46750.00000000001
Trawler,Haber power boats,Used boat,2008,8.0,2.5,GRP,102,Netherlands,46750.00000000001
Deck Boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2018,6.1,2.52,PVC,41,Spain,46250.600000000006
Sport Boat,Raffaelli power boats,"Used boat,Diesel",1982,9.6,3.0,GRP,29,Italy,46200.00000000001
Motor Yacht,Crownline power boats,"Used boat,Unleaded",2003,7.87,2.59,GRP,129,Germany,46200.00000000001
Sport Boat,Cranchi power boats,"Used boat,Unleaded",2005,8.57,2.85,GRP,99,Italy,46200.00000000001
Motor Yacht,Maxum power boats,"Used boat,Unleaded",2005,8.56,2.87,GRP,170,Slovenia,46200.00000000001
Cabin Boat,Glastron power boats,"Used boat,Unleaded",2007,7.57,2.59,GRP,128,Italy,46200.00000000001
Pontoon Boat,Pro-Line power boats,"Used boat,Unleaded",2007,7.01,2.62,GRP,60,Italy,46200.00000000001
Sport Boat,Cranchi power boats,"Used boat,Diesel",1999,8.45,2.94,GRP,125,Spain,46200.00000000001
Center console boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2016,6.8,2.5,GRP,71,Croatia,46200.00000000001
Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Diesel",2003,9.18,3.1,PVC,71,France,46200.00000000001
Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Diesel",2004,7.6,2.75,PVC,61,France,46200.00000000001
Motor Yacht,Riva power boats,Used boat,1981,12.18,3.85,GRP,244,Italy,46200.00000000001
Sport Boat,Cranchi power boats,"Used boat,Unleaded",2006,8.57,2.88,GRP,109,Italy,46200.00000000001
Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Diesel",2004,9.18,3.1,PVC,45,France,46200.00000000001
Sport Boat,Four Winns power boats,Used boat,2004,8.44,2.79,PVC,87,France,46200.00000000001
Sport Boat,Boston Whaler power boats,"Used boat,Unleaded",2003,8.22,2.59,PVC,137,France,46200.00000000001
Cabin Boat,Leidi power boats,"Used boat,Unleaded",2016,7.2,2.5,GRP,182,Croatia,46200.00000000001
Fishing Boat,Tiara power boats,"Used boat,Unleaded",1990,9.6,3.0,GRP,170,Italy,46200.00000000001
"Sport Boat,Wakeboard/Wakesurf",Yamaha power boats,"Used boat,Unleaded",2013,7.36,2.5,Carbon Fiber,136,Poland,46200.00000000001
Deck Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,6.74,2.55,GRP,112,Germany,46198.9
Sport Boat,Jeanneau power boats,"Used boat,Unleaded",2018,6.5,2.43,PVC,51,France,46189.00000000001
Sport Boat,Clear power boats,"Used boat,Unleaded",2017,6.15,2.27,GRP,84,Germany,46145.00000000001
Cabin Boat,Smartboat power boats,"Used boat,Unleaded",2013,6.99,2.54,GRP,292,Switzerland,6750.0
"Motor Yacht,Sport Boat",Sea Ray power boats,"Used boat,Unleaded",1995,8.53,3.2,GRP,513,Switzerland,6750.0
"Sport Boat,Wakeboard/Wakesurf,Water ski",Sigrist power boats,"Used boat,Unleaded",1973,5.6,2.1,Wood,567,Switzerland,6750.0
Motor Yacht,Ocqueteau power boats,"new boat from stock,Unleaded",2019,6.2,2.45,GRP,152,Switzerland,6735.0
Motor Yacht,Rio power boats,"Used boat,Diesel",1998,9.5,3.3,GRP,159,Italy,45650.00000000001
Sport Boat,Sea Ray power boats,"Used boat,Diesel",1996,8.0,2.0,GRP,154,Croatia,45650.00000000001
Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2018,6.5,2.4,PVC,64,France,45650.00000000001
Classic,WeiBo power boats,"Display Model,Unleaded",2018,7.6,1.95,Wood,118,Switzerland,45650.00000000001
Cabin Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,6.02,2.34,GRP,99,Germany,45650.00000000001
Bowrider,Saxdor power boats,"new boat on order,Unleaded",2020,5.94,2.29,GRP,121,Germany,45650.00000000001
"Sport Boat,Wakeboard/Wakesurf",MasterCraft power boats,"Used boat,Unleaded",2008,6.4,2.59,Carbon Fiber,507,Poland,45650.00000000001
Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2016,6.55,2.54,PVC,133,France,45650.00000000001
Pilothouse,Jeanneau power boats,Used boat,2016,6.55,2.54,PVC,88,France,45650.00000000001
Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,5.52,2.4,PVC,45,France,45613.700000000004
Motor Yacht,Parker power boats,new boat from stock,2018,6.45,2.45,GRP,101,Germany,45534.50000000001
Sport Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,5.75,2.4,GRP,99,Switzerland,6685.5
Fishing Boat,Flipper power boats,"Used boat,Unleaded",2007,6.3,2.4,GRP,242,Switzerland,6675.0
Sport Boat,Scarani power boats,"Used boat,Unleaded",2015,6.9,2.42,GRP,686,Switzerland,6600.0
Motor Yacht,Cranchi power boats,"Used boat,Diesel",1999,9.69,3.07,GRP,51,Italy,45100.00000000001
Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,6.5,2.43,PVC,35,France,45100.00000000001
Trawler,Hollandia power boats,Used boat,1968,11.8,3.6,Steel,133,Netherlands,45100.00000000001
Trawler,Menorquin power boats,"Used boat,Unleaded",1988,8.16,2.8,GRP,258,espa?a,45100.00000000001
"Bowrider,Sport Boat,Wakeboard/Wakesurf",Regal power boats,"Used boat,Unleaded",2014,6.4,2.59,Carbon Fiber,418,Poland,45100.00000000001
Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,6.5,2.43,PVC,94,France,45100.00000000001
Sport Boat,Four Winns power boats,"Used boat,Unleaded",2007,9.2,2.59,GRP,321,Italy,44000.0
Motor Yacht,Sealine power boats,Used boat,1991,10.6,3.5,GRP,112,Spain,44000.0
Pilothouse,Sealine power boats,"Used boat,Unleaded",1995,9.6,3.25,GRP,311,Germany,44000.0
Pilothouse,Rodman power boats,"Used boat,Diesel",2002,8.4,3.05,PVC,36,France,44000.0
Motor Yacht,Four Winns power boats,Used boat,2006,8.7,2.59,GRP,134,Croatia,44000.0
Fishing Boat,Rhea power boats,"Used boat,Diesel",2004,7.48,2.8,GRP,193,Italy,44000.0
Flybridge,Piantoni (IT) power boats,"Used boat,Diesel",1992,11.04,3.64,GRP,111,Italy,44000.0
Center console boat,Saver power boats,"Used boat,Unleaded",2014,6.95,2.55,PVC,95,France,44000.0
Sport Boat,Sealine power boats,"Used boat,Diesel",1999,8.0,3.0,GRP,74,Croatia,44000.0
Flybridge,Italcraft power boats,"Used boat,Diesel",1983,10.31,3.5,GRP,122,Italy,44000.0
Center console boat,Jeanneau power boats,"new boat from stock,Unleaded",2019,6.86,2.48,PVC,27,France,44000.0
Pilothouse,Jeanneau power boats,"Used boat,Diesel",2006,8.25,2.94,GRP,75,Italy,44000.0
Motor Yacht,VZ Cantiere Nautico power boats,"Used boat,Diesel",1981,15.5,4.7,Wood,636,Italy,44000.0
"Sport Boat,Water ski",Galeon power boats,"Used boat,Unleaded",2014,6.19,2.48,GRP,408,Germany,44000.0
Motor Yacht,Larson power boats,"Used boat,Unleaded",2004,8.38,2.7,GRP,256,Austria,44000.0
Flybridge,Gibert Marine power boats,"Used boat,Diesel",1991,9.58,3.32,GRP,210,France,44000.0
Motor Yacht,Pedro power boats,"Used boat,Diesel",1978,11.97,3.27,Steel,427,Germany,44000.0
Motor Yacht,Fjord power boats,"Used boat,Diesel",1994,12.0,3.49,GRP,457,Kroatien,44000.0
"Motor Yacht,Sport Boat,Water ski",Windy power boats,"Used boat,Diesel",2000,9.0,2.99,GRP,296,Ibiza,44000.0
Pilothouse,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,6.55,2.54,GRP,99,Germany,43998.9
Cabin Boat,Marinello power boats,new boat from stock,2018,7.65,2.55,GRP,251,Germany,43890.0
Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Diesel",2003,9.18,3.13,PVC,74,France,43890.0
Sport Boat,Nordkapp power boats,"Used boat,Unleaded",2018,6.06,2.2,GRP,178,Germany,43890.0
Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2018,6.5,2.4,PVC,78,France,43890.0
Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2017,7.5,2.53,PVC,51,France,43890.0
Center console boat,Fiberline power boats,"Display Model,Unleaded",2019,6.04,2.38,GRP,77,Germany,43890.0
Mega Yacht,Dacapo power boats,"Used boat,Diesel",1991,9.0,3.05,GRP,518,Germany,43890.0
Bowrider,Larson power boats,"Used boat,Unleaded",2015,7.03,2.54,GRP,200,Germany,43890.0
Sport Boat,Silver power boats,"Used boat,Unleaded",2015,6.5,2.4,Aluminium,121,Germany,43890.0
Bowrider,Campion power boats,"new boat from stock,Unleaded",2020,6.1,2.34,GRP,79,Germany,43890.0
Pilothouse,Jeanneau power boats,"new boat from stock,Unleaded",2019,5.79,2.46,PVC,43,France,43890.0
Center console boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,6.04,2.26,PVC,26,France,43890.0
Flybridge,Sealine power boats,"Used boat,Diesel",1991,10.36,3.21,GRP,166,Croatia,43890.0
Deck Boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,5.96,2.26,PVC,46,France,43890.0
Pilothouse,Argo power boats,"Used boat,Diesel",1976,10.5,3.2,GRP,58,Germany,43890.0
Center console boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,6.04,2.26,PVC,61,France,43890.0
Center console boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,5.56,2.23,PVC,40,France,43890.0
Cabin Boat,Jeanneau power boats,"new boat on order,Unleaded",2020,6.19,2.46,GRP,99,Germany,43890.0
Pilothouse,Jeanneau power boats,"new boat from stock,Unleaded",2020,5.64,2.45,PVC,61,France,43890.0
Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2019,6.5,2.43,PVC,134,France,43890.0
Cabin Boat,Skagerrak power boats,Used boat,2002,7.2,2.7,GRP,63,Netherlands,43890.0
Sport Boat,Sea Ray power boats,"new boat on order,Unleaded",2017,6.0,2.55,GRP,171,Austria,43890.0
Launch,Interboat DE power boats,Used boat,2016,6.8,2.55,GRP,99,Netherlands,43890.0
Motor Yacht,Cruisers Yachts power boats,Used boat,2004,9.5,3.05,GRP,135,Netherlands,43450.0
Deck Boat,Moonday power boats,new boat from stock,2019,6.42,2.27,GRP,40,Netherlands,43450.0
Deck Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2017,6.4,2.5,PVC,38,France,43450.0
Working Boat,Linder power boats,"new boat from stock,Electric",2019,4.51,1.75,Aluminium,46,Germany,43450.0
